artifact_type,evidence_class,performance_evidence,audited_measurement,ranking_evidence,base_case_id,base_case_name,profile,profile_note,route_factor,route_distance_km,payload_fraction,payload_mass_kg,reserve_duration_min,cruise_lift_to_drag_ratio,propulsion_efficiency,thermal_availability,usable_depth_of_discharge,end_of_life_state_of_health,maximum_battery_mass_fraction,pack_specific_energy_Wh_kg,pack_specific_power_W_kg,maximum_continuous_c_rate,required_pack_specific_energy_Wh_kg,required_energy_status,feasible,converged,limiting_constraint,battery_mass_kg,battery_mass_fraction,takeoff_mass_kg,nominal_battery_energy_Wh,peak_electrical_power_W,infeasibility_reasons
aviation_requirement_grid_row,simulation_estimate,False,False,False,mission.regional_demonstrator,Regional demonstrator segmented study,conservative,higher reserve and degradation penalty,0.65,162.5,0.25,250.0,40.5,12.6,0.7872,0.88,0.72,0.78,0.36,300.0,700.0,1.5,537.949,bounded,False,True,energy,6341.411908508647,0.6611552051980075,9591.411908508646,1902423.5725525941,1625116.0949763074,required takeoff mass exceeds the configured maximum; required battery fraction exceeds the configured maximum
aviation_requirement_grid_row,simulation_estimate,False,False,False,mission.regional_demonstrator,Regional demonstrator segmented study,conservative,higher reserve and degradation penalty,0.65,162.5,0.25,250.0,40.5,12.6,0.7872,0.88,0.72,0.78,0.36,500.0,700.0,1.5,537.949,bounded,False,True,energy,2300.1301236283743,0.41442814355579,5550.130123628374,1150065.061814187,954919.9081576543,required battery fraction exceeds the configured maximum
aviation_requirement_grid_row,simulation_estimate,False,False,False,mission.regional_demonstrator,Regional demonstrator segmented study,conservative,higher reserve and degradation penalty,0.65,162.5,0.25,250.0,40.5,12.6,0.7872,0.88,0.72,0.78,0.36,700.0,700.0,1.5,537.949,bounded,True,True,specific_power,1822.614762135472,0.35930478611156874,5072.614762135472,1061166.845150133,875729.9409108516,
aviation_requirement_grid_row,simulation_estimate,False,False,False,mission.regional_demonstrator,Regional demonstrator segmented study,conservative,higher reserve and degradation penalty,0.65,162.5,0.25,250.0,40.5,12.6,0.7872,0.88,0.72,0.78,0.36,1000.0,700.0,1.5,537.949,bounded,True,True,specific_power,1822.614762135472,0.35930478611156874,5072.614762135472,1061166.845150133,875729.9409108516,
aviation_requirement_grid_row,simulation_estimate,False,False,False,mission.regional_demonstrator,Regional demonstrator segmented study,conservative,higher reserve and degradation penalty,0.65,162.5,0.25,250.0,40.5,12.6,0.7872,0.88,0.72,0.78,0.36,1500.0,700.0,1.5,537.949,bounded,True,True,specific_power,1822.614762135472,0.35930478611156874,5072.614762135472,1061166.845150133,875729.9409108516,
aviation_requirement_grid_row,simulation_estimate,False,False,False,mission.regional_demonstrator,Regional demonstrator segmented study,baseline,registered mission assumptions,0.65,162.5,0.25,250.0,30.0,14.0,0.82,0.95,0.8,0.82,0.42,300.0,900.0,2.0,297.251,bounded,True,True,energy,2359.1479871874103,0.42058936447678846,5609.147987187411,707744.396156223,869056.6523995587,
aviation_requirement_grid_row,simulation_estimate,False,False,False,mission.regional_demonstrator,Regional demonstrator segmented study,baseline,registered mission assumptions,0.65,162.5,0.25,250.0,30.0,14.0,0.82,0.95,0.8,0.82,0.42,500.0,900.0,2.0,297.251,bounded,True,True,energy,1145.704871762632,0.26064190048846847,4395.704871762632,572852.435881316,688514.6221680199,
aviation_requirement_grid_row,simulation_estimate,False,False,False,mission.regional_demonstrator,Regional demonstrator segmented study,baseline,registered mission assumptions,0.65,162.5,0.25,250.0,30.0,14.0,0.82,0.95,0.8,0.82,0.42,700.0,900.0,2.0,297.251,bounded,True,True,specific_power,937.9628242365505,0.22396636828015243,4187.962824236551,549758.8646501417,657605.7360722455,
aviation_requirement_grid_row,simulation_estimate,False,False,False,mission.regional_demonstrator,Regional demonstrator segmented study,baseline,registered mission assumptions,0.65,162.5,0.25,250.0,30.0,14.0,0.82,0.95,0.8,0.82,0.42,1000.0,900.0,2.0,297.251,bounded,True,True,specific_power,937.9628242365505,0.22396636828015243,4187.962824236551,549758.8646501417,657605.7360722455,
aviation_requirement_grid_row,simulation_estimate,False,False,False,mission.regional_demonstrator,Regional demonstrator segmented study,baseline,registered mission assumptions,0.65,162.5,0.25,250.0,30.0,14.0,0.82,0.95,0.8,0.82,0.42,1500.0,900.0,2.0,297.251,bounded,True,True,specific_power,937.9628242365505,0.22396636828015243,4187.962824236551,549758.8646501417,657605.7360722455,
aviation_requirement_grid_row,simulation_estimate,False,False,False,mission.regional_demonstrator,Regional demonstrator segmented study,optimistic,favorable aircraft and pack-operation assumptions,0.65,162.5,0.25,250.0,22.5,15.68,0.8528,0.98,0.88,0.9,0.5,300.0,1300.0,3.0,200.0,bounded,True,True,energy,1244.3666919094417,0.2768725333759471,4494.366691909441,373310.0075728325,634056.8293091523,
aviation_requirement_grid_row,simulation_estimate,False,False,False,mission.regional_demonstrator,Regional demonstrator segmented study,optimistic,favorable aircraft and pack-operation assumptions,0.65,162.5,0.25,250.0,22.5,15.68,0.8528,0.98,0.88,0.9,0.5,500.0,1300.0,3.0,200.0,bounded,True,True,energy,666.8093365047162,0.17024299096972734,3916.809336504716,333404.6682523581,557009.6158875972,
aviation_requirement_grid_row,simulation_estimate,False,False,False,mission.regional_demonstrator,Regional demonstrator segmented study,optimistic,favorable aircraft and pack-operation assumptions,0.65,162.5,0.25,250.0,22.5,15.68,0.8528,0.98,0.88,0.9,0.5,700.0,1300.0,3.0,200.0,bounded,True,True,specific_power,461.95901359352456,0.12445153944367099,3711.9590135935246,319250.88440558483,529682.2049863352,
aviation_requirement_grid_row,simulation_estimate,False,False,False,mission.regional_demonstrator,Regional demonstrator segmented study,optimistic,favorable aircraft and pack-operation assumptions,0.65,162.5,0.25,250.0,22.5,15.68,0.8528,0.98,0.88,0.9,0.5,1000.0,1300.0,3.0,200.0,bounded,True,True,specific_power,461.95901357437464,0.12445153943915405,3711.9590135743747,319250.88439421245,529682.2049643779,
aviation_requirement_grid_row,simulation_estimate,False,False,False,mission.regional_demonstrator,Regional demonstrator segmented study,optimistic,favorable aircraft and pack-operation assumptions,0.65,162.5,0.25,250.0,22.5,15.68,0.8528,0.98,0.88,0.9,0.5,1500.0,1300.0,3.0,200.0,bounded,True,True,specific_power,461.95901357437464,0.12445153943915405,3711.9590135743747,319250.88439421245,529682.2049643779,
aviation_requirement_grid_row,simulation_estimate,False,False,False,mission.regional_demonstrator,Regional demonstrator segmented study,conservative,higher reserve and degradation penalty,0.65,162.5,0.6,600.0,40.5,12.6,0.7872,0.88,0.72,0.78,0.36,300.0,700.0,1.5,569.703,bounded,False,True,energy,6913.826260319742,0.6575937331600419,10513.826260319742,2074147.8780959225,1778087.0165735995,required takeoff mass exceeds the configured maximum; required battery fraction exceeds the configured maximum
aviation_requirement_grid_row,simulation_estimate,False,False,False,mission.regional_demonstrator,Regional demonstrator segmented study,conservative,higher reserve and degradation penalty,0.65,162.5,0.6,600.0,40.5,12.6,0.7872,0.88,0.72,0.78,0.36,500.0,700.0,1.5,569.703,bounded,False,True,energy,2507.753837841185,0.41058528297328417,6107.753837841185,1253876.9189205924,1047394.851666955,required takeoff mass exceeds the configured maximum; required battery fraction exceeds the configured maximum
aviation_requirement_grid_row,simulation_estimate,False,False,False,mission.regional_demonstrator,Regional demonstrator segmented study,conservative,higher reserve and degradation penalty,0.65,162.5,0.6,600.0,40.5,12.6,0.7872,0.88,0.72,0.78,0.36,700.0,700.0,1.5,569.703,bounded,True,True,specific_power,2007.0880775842877,0.3579555109198508,5607.088077584288,1160668.8321921607,964365.6795176986,
aviation_requirement_grid_row,simulation_estimate,False,False,False,mission.regional_demonstrator,Regional demonstrator segmented study,conservative,higher reserve and degradation penalty,0.65,162.5,0.6,600.0,40.5,12.6,0.7872,0.88,0.72,0.78,0.36,1000.0,700.0,1.5,569.703,bounded,True,True,specific_power,2007.0880775842877,0.3579555109198508,5607.088077584288,1160668.8321921607,964365.6795176986,
aviation_requirement_grid_row,simulation_estimate,False,False,False,mission.regional_demonstrator,Regional demonstrator segmented study,conservative,higher reserve and degradation penalty,0.65,162.5,0.6,600.0,40.5,12.6,0.7872,0.88,0.72,0.78,0.36,1500.0,700.0,1.5,569.703,bounded,True,True,specific_power,2007.0880775842877,0.3579555109198508,5607.088077584288,1160668.8321921607,964365.6795176986,
aviation_requirement_grid_row,simulation_estimate,False,False,False,mission.regional_demonstrator,Regional demonstrator segmented study,baseline,registered mission assumptions,0.65,162.5,0.6,600.0,30.0,14.0,0.82,0.95,0.8,0.82,0.42,300.0,900.0,2.0,341.831,bounded,False,True,energy,2565.1879190992713,0.4160761930958372,6165.187919099271,769556.3757297813,951787.01128898,required takeoff mass exceeds the configured maximum; required battery fraction exceeds the configured maximum
aviation_requirement_grid_row,simulation_estimate,False,False,False,mission.regional_demonstrator,Regional demonstrator segmented study,baseline,registered mission assumptions,0.65,162.5,0.6,600.0,30.0,14.0,0.82,0.95,0.8,0.82,0.42,500.0,900.0,2.0,341.831,bounded,True,True,energy,1245.7668242349284,0.2570835265957346,4845.766824234928,622883.4121174642,755477.0564430623,
