artifact_type,evidence_class,performance_evidence,audited_measurement,ranking_evidence,target_pack_specific_energy_Wh_kg,cell_to_pack_mass_efficiency,thermal_mass_fraction,containment_mass_fraction,controls_mass_fraction,reserve_margin_fraction,degradation_margin_fraction,usable_energy_fraction,effective_pack_fraction,required_cell_specific_energy_Wh_kg,infeasible,infeasibility_reason
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.03,0.1,0.1,0.7,0.278438,1795.735,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.03,0.1,0.1,0.85,0.338103,1478.841,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.03,0.1,0.1,0.95,0.377879,1323.173,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.03,0.1,0.2,0.7,0.2475,2020.202,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.03,0.1,0.2,0.85,0.300536,1663.696,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.03,0.1,0.2,0.95,0.335893,1488.57,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.03,0.1,0.3,0.7,0.216562,2308.802,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.03,0.1,0.3,0.85,0.262969,1901.367,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.03,0.1,0.3,0.95,0.293906,1701.223,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.03,0.2,0.1,0.7,0.2475,2020.202,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.03,0.2,0.1,0.85,0.300536,1663.696,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.03,0.2,0.1,0.95,0.335893,1488.57,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.03,0.2,0.2,0.7,0.22,2272.727,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.03,0.2,0.2,0.85,0.267143,1871.658,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.03,0.2,0.2,0.95,0.298571,1674.641,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.03,0.2,0.3,0.7,0.1925,2597.403,True,required cell energy exceeds research ceiling
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.03,0.2,0.3,0.85,0.23375,2139.037,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.03,0.2,0.3,0.95,0.26125,1913.876,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.03,0.3,0.1,0.7,0.216562,2308.802,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.03,0.3,0.1,0.85,0.262969,1901.367,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.03,0.3,0.1,0.95,0.293906,1701.223,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.03,0.3,0.2,0.7,0.1925,2597.403,True,required cell energy exceeds research ceiling
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.03,0.3,0.2,0.85,0.23375,2139.037,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.03,0.3,0.2,0.95,0.26125,1913.876,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.03,0.3,0.3,0.7,0.168437,2968.46,True,required cell energy exceeds research ceiling
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.03,0.3,0.3,0.85,0.204531,2444.614,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.03,0.3,0.3,0.95,0.228594,2187.286,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.06,0.1,0.1,0.7,0.271174,1843.835,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.06,0.1,0.1,0.85,0.329283,1518.452,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.06,0.1,0.1,0.95,0.368022,1358.615,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.06,0.1,0.2,0.7,0.241043,2074.315,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.06,0.1,0.2,0.85,0.292696,1708.259,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.06,0.1,0.2,0.95,0.32713,1528.442,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.06,0.1,0.3,0.7,0.210913,2370.645,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.06,0.1,0.3,0.85,0.256109,1952.296,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.06,0.1,0.3,0.95,0.286239,1746.791,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.06,0.2,0.1,0.7,0.241043,2074.315,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.06,0.2,0.1,0.85,0.292696,1708.259,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.06,0.2,0.1,0.95,0.32713,1528.442,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.06,0.2,0.2,0.7,0.214261,2333.604,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.06,0.2,0.2,0.85,0.260174,1921.791,False,
pack_trade_space_row,simulation_estimate,False,False,False,500.0,0.55,0.05,0.04,0.06,0.2,0.2,0.95,0.290783,1719.498,False,
